순번,일련번호,장치번호,설치지역,설치구분,설치유형구분,사용구분,관할서,안전센터,주소,상세위치,좌표X,좌표Y,경위도좌표X,경위도좌표Y
1,110085251,37,소방차진입곤란,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로63길 5,공중전화 옆 좌측 1m,213919.208,443452.3882,127.1574104,37.49036434
2,110082433,32,주거지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 천호대로152길 7, 전면 40m,210800.5733,448720.2339,127.1222196,37.53787454
3,110083135,33,시장지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로30길 19,한사랑교회 후면 5m,213289.928,444338.5081,127.15031,37.49835844
4,110082437,30,주거지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로29다길 17,0m,213671.4567,444603.1973,127.15463,37.50073798
5,110082430,29,주거지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로33다길 14,  0m,213527.9315,444611.7062,127.1530068,37.50081677
6,110082413,10,시장지역,소방서,일체형,양호,송파소방서,잠실119안전센터,송파구 송파대로37길 36,명성빌 전면 5m,209564.1779,444568.1274,127.1081745,37.50047364
7,110082420,22,주거지역,소방서,일체형,양호,송파소방서,잠실119안전센터,송파구 송파대로40길 13,팰리스빌 좌측 4m,209772.1079,444935.8413,127.1105312,37.50378494
8,110082424,18,주거지역,도시계획(구청),일체형,양호,송파소방서,현장대응단,송파구 동남로23가길 42,조흥하이츠빌라 전면 8m,211715.8821,444749.796,127.132514,37.50208586
9,110082409,6,시장지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 바람드리길 41,두리어린이집 앞  2m,210657.8869,448659.6945,127.1206041,37.53733068
10,110082419,23,주거지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 풍성로15길 34,수원주택  3m,210278.6985,448609.3776,127.1163125,37.53688158
11,110082426,25,영세민밀집,도시계획(구청),일체형,양호,송파소방서,가락119안전센터,송파구 성남대로 1565, 전면 10m,211154.8423,441197.4378,127.1261145,37.47008242
12,110082427,3,주거지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로29다길 5-1,  3m,213601.6603,444690.5197,127.1538422,37.50152587
13,110082428,16,소방차진입불가,도시계획(구청),일체형,양호,송파소방서,방이119안전센터,송파구 바람드리10길 10,  1m,210422.6504,448640.1287,127.1179419,37.53715706
14,110082429,28,주거지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로59길 9-1,  0m,213975.7781,443598.6818,127.1580529,37.49168174
15,110082431,35,소방차진입곤란,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로33가길 20,  2m,213665.1782,444545.5302,127.1545579,37.50021844
16,110082432,31,주거지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 풍성로25길 4,  7m,210617.239,448271.0914,127.1201385,37.53382947
17,110082434,15,영세민밀집,소방서,일체형,양호,송파소방서,가락119안전센터,송파구 성남대로 1565,장지화훼마을 전면 2m,211145.393,441099.2772,127.1260061,37.46919801
18,110082405,1,시장지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 마천로45길 23,마천시장 좌측 0m,213282.0937,444261.4423,127.15022,37.49766411
19,110082406,2,영세민밀집,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로33나길 4,  0m,213586.7405,444529.9875,127.1536704,37.50007954
20,110082407,4,영세민밀집,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로29가길 20,  4m,213593.4839,444522.7897,127.1537466,37.50001458
21,110082408,5,시장지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 바람드리길 35, 전면 2m,210582.981,448687.4308,127.1197569,37.53758147
22,110082410,7,시장지역,소방서,분리형,양호,송파소방서,잠실119안전센터,송파구 송파대로37길 54,빗나교회 좌측 10m,209397.6342,444521.4245,127.1062903,37.50005451
23,110082411,8,시장지역,소방서,일체형,양호,송파소방서,종합운동장119안전센터,송파구 석촌호수로 78,남서울상가(알파마트) 후면 5m,207605.2555,445538.6932,127.0860284,37.50923763
24,110082412,9,시장지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 마천로51가길 29,오로디 좌측 2m,213349.9788,444369.0844,127.1509897,37.49863309
25,110082414,11,시장지역,소방서,일체형,고장(사용불),송파소방서,거여119안전센터,송파구 성내천로32길 24-1, 우측 1m,213389.2507,444243.2525,127.1514316,37.49749866
26,110082415,12,주거지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 바람드리12길 7, 전면 ,210472.8253,448633.3126,127.1185096,37.53709507
27,110082416,13,주거지역,도시계획(구청),일체형,양호,송파소방서,거여119안전센터,송파구 성내천로33나길 9,  2m,213617.1702,444566.9514,127.1540153,37.50041217
28,110082417,14,시장지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 마천로45길 8, 전면 8m,213252.9397,444144.8728,127.1498881,37.49661412
29,110082418,24,주거지역,소방서,일체형,양호,송파소방서,가락119안전센터,송파구 가락로18길 17,  150m,209928.9516,444713.394,127.1123022,37.50177879
30,110082421,21,주거지역,소방서,일체형,양호,송파소방서,방이119안전센터,송파구 풍성로5길 16,솔바람복지센타  2m,210234.1931,448477.1135,127.1158071,37.53569025
31,110082422,20,주거지역,도시계획(구청),일체형,양호,송파소방서,방이119안전센터,송파구 바람드리12길 22, 후면 1m,210400.8802,448530.8555,127.117694,37.53617265
32,110082425,17,주거지역,소방서,일체형,양호,송파소방서,거여119안전센터,송파구 성내천로43라길 37,  0m,213902.6523,443662.0896,127.1572271,37.49225421
33,110084665,34,소방차진입불가,소방서,분리형,양호,송파소방서,방이119안전센터,송파구 바람드리18길 14, 전면 2m,210554.6836,448560.1286,127.1194348,37.53643468
34,110085135,36,시장지역,소방서,일체형,양호,송파소방서,종합운동장119안전센터,송파구 석촌호수로12길 17,반찬나라 후면 5m,207480.617,445484.3202,127.084618,37.50874869
